Date,Open,High,Low,Close,Volume,sentiment_polarity,sentiment_subjectivity
2023-03-21,157.32,159.4,156.54,159.28,73938285.0,0.11420454545454546,0.2694573283858998
2023-03-22,159.3,162.14,157.81,157.83,75349311.0,0.0638783998447864,0.27542472039320776
2023-03-23,158.83,161.5501,157.68,158.93,67482060.0,0.2494524611191278,0.5259300144300144
2023-03-24,158.86,160.34,157.85,160.25,59006343.0,0.14515111431778097,0.33428972262305595
2023-03-27,159.94,160.77,157.87,158.28,52390266.0,0.13322416395333062,0.38170829941663276
2023-03-28,157.97,158.49,155.98,157.65,45992152.0,0.09643580225817068,0.382578969519759
2023-03-29,159.37,161.05,159.35,160.77,51305691.0,0.06966021324354658,0.3594166666666666
2023-03-30,161.53,162.47,161.271,162.36,49210289.0,0.07591260822510822,0.33431646825396827
2023-03-31,162.44,165.0,161.91,164.9,68749792.0,0.2030718561274117,0.45694497888942337
2023-04-03,164.27,166.29,164.22,166.17,56976187.0,0.20487948014874893,0.3886642897067798
2023-04-04,166.595,166.84,165.11,165.63,46278295.0,0.12260105018438351,0.2797022206188873
2023-04-05,164.74,165.05,161.8,163.76,51511744.0,0.17558457341269842,0.44641567460317455
2023-04-06,162.43,164.9584,162.0,164.66,45390123.0,0.06324787712287713,0.3777228535353535
2023-04-10,161.42,162.03,160.08,162.03,47670382.0,0.11135477495248029,0.35489808588788735
2023-04-11,162.35,162.36,160.51,160.8,47494217.0,0.047438280318715095,0.4459512568751699
2023-04-12,161.22,162.06,159.78,160.1,50133062.0,0.040963203463203465,0.30867965367965366
2023-04-13,161.63,165.8,161.42,165.56,68418649.0,0.1207218567251462,0.28740386121553885
2023-04-14,164.59,166.32,163.82,165.21,49314480.0,0.13745954442383013,0.39662245988138844
2023-04-17,165.09,165.39,164.03,165.23,41516217.0,0.11329041465070877,0.4009410632940045
2023-04-18,166.1,167.41,165.65,166.47,49915508.0,0.17259062366205224,0.3227577184720042
2023-04-19,165.8,168.16,165.54,167.63,47621166.0,0.14111926067089112,0.44168985402681055
2023-04-20,166.09,167.87,165.56,166.65,52456377.0,0.12819890077243018,0.3562566844919786
2023-04-21,165.05,166.4521,164.49,165.02,57736141.0,-0.05089015151515149,0.3323106060606061
2023-04-24,165.0,165.6,163.89,165.33,41449581.0,0.10554606247661803,0.2642930444041555
2023-04-25,165.19,166.305,163.73,163.77,48652863.0,0.1444837512025012,0.41743536556036553
2023-04-26,163.055,165.28,162.8,163.76,45487296.0,0.13103305785123967,0.41139807162534436
2023-04-27,165.19,168.56,165.19,168.41,64898729.0,0.10184605407819694,0.38382184944684944
2023-04-28,168.49,169.85,167.8801,169.68,55275851.0,0.14229024943310659,0.5533219954648526
2023-05-01,169.28,170.45,168.64,169.59,52424936.0,0.13419477050727052,0.4490743215118215
2023-05-02,170.09,170.35,167.54,168.54,48425696.0,0.17669285973823698,0.4513870118863935
2023-05-03,169.5,170.92,167.16,167.45,65126998.0,0.17764587842712842,0.45502119408369407
2023-05-04,164.89,167.04,164.31,165.79,81225673.0,0.13199899958580516,0.4594961352947464
2023-05-05,170.975,174.3,170.76,173.57,113402971.0,0.13797283583329703,0.42916463634693336
2023-05-08,172.48,173.85,172.11,173.5,55962634.0,0.08100168783762533,0.34901490292115295
2023-05-09,173.05,173.54,171.6,171.77,45326874.0,0.10912484634706858,0.417814253647587
2023-05-10,173.02,174.03,171.9,173.555,53724501.0,0.0815309042426811,0.32603519013126453
2023-05-11,173.85,174.59,172.17,173.75,49473076.0,0.09056027714115948,0.3398119854002207
2023-05-12,173.62,174.06,171.0,172.57,45533138.0,0.15260006723074906,0.4746331004853732
2023-05-15,173.16,173.21,171.47,172.07,37264259.0,0.0778164800567398,0.47009080025313793
2023-05-16,171.99,173.1383,171.7991,172.07,42110293.0,0.1478594395661157,0.4649141311655516
2023-05-17,171.71,172.925,170.4201,172.69,57934404.0,0.12813020313020312,0.3261238761238761
2023-05-18,173.0,175.24,172.58,175.05,65496657.0,0.13790845320257084,0.392709001238413
2023-05-19,176.39,176.39,174.94,175.16,55525641.0,0.26882236227824463,0.46286000763941937
2023-05-22,173.98,174.71,173.45,174.2,43570932.0,0.19235766412237001,0.36307510753589184
2023-05-23,173.13,173.3794,171.275,171.56,50745163.0,0.04896148989898989,0.30230023448773446
2023-05-24,171.09,172.4183,170.52,171.84,43711588.0,0.12520395756506866,0.337422505478061
2023-05-25,172.41,173.895,171.69,172.99,55889523.0,0.2170680708180708,0.41626678876678874
2023-05-26,173.32,175.77,173.11,175.43,54834975.0,0.08741133432539683,0.5061134785353535
2023-05-30,176.96,178.99,176.57,177.3,55963954.0,0.03119178275428276,0.441320513976764
2023-05-31,177.325,179.35,176.76,177.25,99625288.0,0.1776677368927369,0.42941529581529575
